,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,likes_people,keep_in,prob_likes,labels,age_interval
1638,404,0,7.42,male,Unknown Mix,2013-06-21,2013-06-21,2013-06-21,black and brown,short,medium,unknow,yes,unknow,0.7637804718945845,4,Young
1639,6443,0,7.25,female,Adoptable From:,2013-06-22,2013-06-22,2013-06-25,apricot,short,medium,no,yes,unknow,0.7264142687118128,4,Young
1640,789,0,13.0,male,Unknown Mix,2012-08-07,2012-08-07,2013-06-04,sable,short,medium,yes,yes,garden,0.9712896426806336,8,Old
1641,21,0,11.5,female,Bull Terrier Mix,2013-04-04,2013-04-04,2013-06-03,white,short,medium,no,yes,garden,0.9804088403957556,9,Old
1642,395,0,6.75,male,German Shepherd Dog Mix,2013-05-01,2013-05-01,2013-05-28,brown,short,medium,unknow,yes,unknow,0.4296572668919132,3,Young
1643,6419,0,6.75,male,Labrador Retriever Mix,2013-06-05,2013-06-05,2013-06-07,black,short,medium,no,yes,both flat and garden,0.9830400608214831,10,Young
1644,15,0,8.5,male,Unknown Mix,2013-05-20,2013-05-20,2013-05-28,brown,short,medium,no,yes,garden,0.9641295272569887,7,Young
1645,18,0,7.0,male,Schnauzer Mix,2013-02-02,2013-02-02,2013-06-03,black,long,large,unknow,yes,both flat and garden,0.968192701043583,8,Young
1646,1195,0,12.5,female,"Havanese, Puli, Pumi Mix",2013-05-28,2013-05-28,2013-05-29,gray,long,medium,yes,yes,both flat and garden,0.9111046981472655,5,Old
1647,392,0,6.67,male,Fox Terrier Mix,2013-05-01,2013-05-01,2013-05-28,tricolor,short,medium,unknow,yes,unknow,0.7379795637066635,4,Young
1648,22,0,7.33,male,Unknown Mix,2013-04-07,2013-04-07,2013-06-03,black and brown,long,small,no,no,unknow,0.26814122535521173,2,Young
1649,24,0,7.25,male,Unknown Mix,2012-11-10,2012-11-10,2013-06-03,brown,long,small,no,yes,both flat and garden,0.9637910492954807,7,Young
1650,17,0,9.5,male,Unknown Mix,2013-05-20,2013-05-20,2013-05-28,black,short,large,no,yes,garden,0.9576292017278193,7,Middle_age
1651,19,0,6.83,female,Unknown Mix,2013-04-18,2013-04-18,2013-06-03,black and brown,medium,large,unknow,yes,both flat and garden,0.9740724922351435,8,Young
1652,23,0,8.0,male,Unknown Mix,2012-06-13,2012-06-13,2013-06-03,brown,medium,large,yes,yes,garden,0.917821309652622,5,Young
1653,391,0,7.92,male,Unknown Mix,2013-05-01,2013-05-01,2013-05-28,black,short,medium,unknow,no,unknow,0.5163093219968661,3,Young
1654,322,0,7.17,male,Greyhound Mix,2013-05-24,2013-05-24,2013-05-27,yellow-brown,short,medium,yes,yes,both flat and garden,0.9614974435530085,7,Young
1655,14,0,8.0,male,Unknown Mix,2012-11-10,2012-11-10,2013-05-28,brown,short,large,no,yes,garden,0.9691084216087599,8,Young
1656,20,0,7.0,male,Unknown Mix,2013-04-26,2013-04-26,2013-06-03,black and brown,medium,medium,unknow,yes,garden,0.8733469327566326,5,Young
1657,394,0,6.75,female,German Shepherd Dog Mix,2013-05-01,2013-05-01,2013-05-28,black and brown,short,medium,unknow,yes,unknow,0.7774515094399636,4,Young
1658,30,0,9.33,male,Staffordshire Terrier Mix,2013-05-30,2013-05-30,2013-05-31,spotty,short,medium,no,yes,both flat and garden,0.9768786437096495,9,Middle_age
1659,16,0,18.5,male,Unknown Mix,2012-06-01,2012-06-01,2013-05-28,gray and white,medium,large,no,yes,both flat and garden,0.9594678336003698,7,Old
1660,388,0,7.0,male,Unknown Mix,2013-05-09,2013-05-09,2013-05-13,black,short,medium,unknow,yes,unknow,0.8154645485572739,4,Young
1661,379,0,8.5,male,Puli Mix,2013-04-18,2013-04-18,2013-04-18,black,long,medium,unknow,no,unknow,0.2843486395759711,2,Young
1662,99,0,11.67,male,Dogo Argentino,2013-04-28,2013-04-28,2013-05-25,white,short,medium,unknow,yes,both flat and garden,0.9800040762266992,9,Old
1663,6349,0,8.58,male,Unknown Mix,2013-04-17,2013-04-17,2013-04-28,red,medium,medium,unknow,yes,both flat and garden,0.9682535520395499,8,Young
1664,380,0,7.75,male,Unknown Mix,2013-04-18,2013-04-18,2013-04-18,white,short,medium,unknow,yes,unknow,0.7336641532864083,4,Young
1665,508,0,14.92,male,Fox Terrier Mix,2013-04-01,2013-05-10,2013-04-23,spotty,short,medium,unknow,yes,both flat and garden,0.9680023162071163,8,Old
1666,931,0,17.25,male,Unknown Mix,2013-05-18,2013-05-18,2013-05-19,black and white,short,medium,yes,yes,both flat and garden,0.9475280244289086,6,Old
1667,786,0,7.92,female,Unknown Mix,2013-02-02,2013-02-02,2013-04-19,tricolor,short,small,yes,yes,both flat and garden,0.9710904783516894,8,Young
1668,6369,0,8.58,male,Beagle,2013-05-11,2013-05-11,2013-05-12,tricolor,short,medium,no,no,unknow,0.44827071536716245,3,Young
1669,382,0,7.92,male,Unknown Mix,2013-04-25,2013-04-25,2013-04-29,black,medium,medium,unknow,yes,unknow,0.5202503168096797,3,Young
1670,27,0,11.58,male,Spitz,2013-04-08,2013-04-08,2013-04-22,white,long,small,no,yes,flat,0.9699012037565394,8,Old
1671,389,0,7.92,male,Unknown Mix,2013-05-09,2013-05-09,2013-05-13,black,short,medium,unknow,no,unknow,0.5163093219968661,3,Young
1672,384,0,7.58,female,Unknown Mix,2013-04-25,2013-04-25,2013-04-29,yellow-brown,medium,medium,unknow,yes,unknow,0.6512206789415393,3,Young
1673,321,0,7.17,male,Greyhound Mix,2013-05-24,2013-05-24,2013-05-27,yellow-brown,short,medium,yes,yes,both flat and garden,0.9614974435530085,7,Young
1674,6350,0,8.08,male,Pumi Mix,2013-04-25,2013-04-25,2013-04-29,gray,medium,medium,no,yes,garden,0.965715518259886,7,Young
1675,922,0,12.42,female,Unknown Mix,2013-04-09,2013-04-09,2013-05-07,yellow-brown,short,medium,unknow,yes,both flat and garden,0.972618948683622,8,Old
